Map Name,Best Time,AzhanBestTime,RajBestTime,SameerBestTime
Shanghai,3:00.00,3:00.00,3:00.00,3:00.00
Shanghai by Night,3:00.00,3:00.00,3:00.00,3:00.00
Snowville,3:00.00,3:00.00,3:00.00,3:00.00
